time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.804903	1.570796	8.098000	0.980000	2.000000
0.200000	-1.750000	191.619613	1.570796	8.196000	0.980000	2.000000
0.300000	-1.750000	192.453959	1.570796	8.490000	2.940000	0.000000
0.400000	-1.750000	193.317703	1.570796	8.784000	2.940000	0.000000
0.500000	-1.750000	194.210814	1.570796	9.078000	2.940000	0.000000
0.600000	-1.749998	195.089175	1.570763	8.490000	-5.880000	1.000000
0.700000	-1.749232	195.908700	1.568492	7.902000	-5.880000	1.000000
0.800000	-1.746023	196.698893	1.564979	7.902000	0.000000	4.000000
0.900000	-1.740528	197.459542	1.562433	7.314000	-5.880000	1.000000
1.000000	-1.734233	198.173563	1.561868	6.967831	-3.461691	7.000000
1.100000	-1.728397	198.875223	1.563441	7.065831	0.980000	2.000000
1.200000	-1.724501	199.552272	1.566916	6.477831	-5.880000	1.000000
1.300000	-1.723410	200.170525	1.571239	5.889831	-5.880000	1.000000
1.400000	-1.724807	200.729855	1.575256	5.301831	-5.880000	1.000000
1.500000	-1.727803	201.230618	1.578128	4.713831	-5.880000	1.000000
1.600000	-1.731769	201.716756	1.579491	5.007831	2.940000	0.000000
1.700000	-1.735793	202.187816	1.578824	4.419831	-5.880000	1.000000
1.800000	-1.738656	202.613315	1.575833	4.094067	-3.257640	7.000000
1.900000	-1.738140	203.366932	1.562422	3.442539	-3.257640	7.000000
2.000000	-1.733802	203.694529	1.552454	3.116815	-3.257244	7.000000
2.100000	-1.726742	203.989751	1.541019	2.791164	-3.256506	7.000000
2.200000	-1.717308	204.251793	1.528720	2.465538	-3.256262	7.000000
2.300000	-1.706184	204.481042	1.516171	2.140127	-3.254103	7.000000
2.400000	-1.694199	204.678333	1.503985	1.815068	-3.250594	7.000000
2.500000	-1.682292	204.841525	1.492767	1.490075	-3.249929	7.000000
2.600000	-1.671448	204.971138	1.483073	1.166624	-3.234510	7.000000
2.700000	-1.662276	205.071188	1.475702	0.847373	-3.192514	7.000000
2.800000	-1.651928	205.173999	1.465258	0.208870	-3.192514	7.000000
2.900000	-1.649728	205.194770	1.465258	0.208870	0.000000	4.000000
3.000000	-1.647528	205.215541	1.465258	0.208870	0.000000	4.000000
3.100000	-1.645327	205.236312	1.465258	0.208870	0.000000	4.000000
3.200000	-1.643127	205.257083	1.465258	0.208870	0.000000	4.000000
3.300000	-1.640927	205.277853	1.465258	0.208870	0.000000	4.000000
3.400000	-1.638727	205.298624	1.465258	0.208870	0.000000	4.000000
3.500000	-1.636526	205.319395	1.465258	0.208870	0.000000	4.000000
3.600000	-1.634326	205.340166	1.465258	0.208870	0.000000	4.000000
3.700000	-1.628772	205.390038	1.459861	0.502870	2.940000	0.000000
3.800000	-1.620533	205.460550	1.452227	0.796870	2.940000	0.000000
3.900000	-1.608771	205.554957	1.441996	1.090870	2.940000	0.000000
4.000000	-1.591765	205.678922	1.428539	1.384870	2.940000	0.000000
4.100000	-1.568460	205.831642	1.411924	1.678870	2.940000	0.000000
4.200000	-1.537633	206.012168	1.392225	1.972870	2.940000	0.000000
4.300000	-1.497488	206.220613	1.369387	2.266870	2.940000	0.000000
4.400000	-1.445882	206.456962	1.343346	2.560870	2.940000	0.000000
4.500000	-1.380782	206.720180	1.314136	2.854870	2.940000	0.000000
4.600000	-1.302624	206.999887	1.282810	2.952870	0.980000	2.000000
4.700000	-1.212710	207.286276	1.250347	3.050870	0.980000	2.000000
4.800000	-1.110072	207.578805	1.216641	3.148870	0.980000	2.000000
4.900000	-0.993833	207.876774	1.181541	3.246870	0.980000	2.000000
5.000000	-0.863062	208.179380	1.144848	3.344870	0.980000	2.000000
5.100000	-0.716772	208.485699	1.106322	3.442870	0.980000	2.000000
5.200000	-0.553914	208.794658	1.065727	3.540870	0.980000	2.000000
5.300000	-0.373396	209.105019	1.022868	3.638870	0.980000	2.000000
5.400000	-0.174112	209.415369	0.977602	3.736870	0.980000	2.000000
5.500000	0.045019	209.724107	0.929851	3.834870	0.980000	2.000000
5.600000	0.285017	210.029449	0.879606	3.932870	0.980000	2.000000
5.700000	0.546787	210.329436	0.826936	4.030870	0.980000	2.000000
5.800000	0.831182	210.621911	0.771983	4.128870	0.980000	2.000000
5.900000	1.138757	210.904616	0.714989	4.226870	0.980000	2.000000
6.000000	1.469784	211.175235	0.656287	4.324870	0.980000	2.000000
6.100000	1.824242	211.431458	0.596300	4.422870	0.980000	2.000000
6.200000	2.201800	211.671056	0.535531	4.520870	0.980000	2.000000
6.300000	2.601815	211.891967	0.474558	4.618870	0.980000	2.000000
